nro,rnt,nombre_comercial,direccion,telefono,localidad,servicio_a_domicilio,telefono_a_domicilio,pagina_web
248,27243,Presto Avenida Chile,Centro Comercial Avenida Chile Calle 72 No 10 - 34 Plazoleta de Comidas,472 46 30 -,Chapinero,Sí,6550 550,www.presto.com.co
320,30771,PPC Pollo; Pizza; Carne,Diagonal 22B No 63 - 30 Local 341,650 91 54 -,Teusaquillo,No,NA,www.ppc.com.co
368,34000,Subway Centro Comercial Calima,Centro Comercial Calima Avenida Calle 19 No 28 - 80 Local R-23,378 62 65 -,Los Mártires,Sí,378 62 65,www.subwaycolombia.com
31,14480,Archies Pepe Sierra,Calle 116 No 17 - 13,637 00 38 - 310 235 19 95,Usaquén,Sí,605 05 05,www.archies.co
66,14686,Restaurante Casa San Isidro,Paseo Bolívar No 21 - 48 Este Estación Funicular,281 92 70 - 281 93 09,,NR,NA,www.restaurantecasasanisidro.com
334,31478,Beer Station Usaquen,Centro Comercial Titan Plaza Carrera 72 No 80 - 94  Local 403A,736 20 29 -,Engativá,NR,NA,www.beerstation.com.co
383,34393,La Plaza de Andrés,Centro Comercial Hacienda Santa Bárbara Carrera 7 No 115 - 60 LC 303 - 304 - 305 - 306 - 307 - 308,863 78 80 - 861 22 33,Usaquén,NR,NA,www.andrescarnederes.com
234,26523,Capital Cocina Y Café,Calle 10 No 2 - 99,342 04 26 -,Candelaria,NR,NA,NR
288,29959,Presto Puente Aéreo,Calle 26 No 106 - 28 Puente Aéreo,413 92 45 -,Fontibón,Sí,6550 550,www.presto.com.co
56,14647,Restaurante Museo del Oro,Calle 16 No 5 - 41,282 92 05 - 334 71 28,Santafé,No,NA,NR
157,22612,Piazza,Calle 83 12 - 26,257 20 88 -,Chapinero,NR,NA,NR
375,34175,Le Cabrera,Carrera 12 A No 83 - 23,610 28 46 -,Chapinero,NR,NA,NR
80,14914,Paneroli 1,Centro Comercial Andino Carrera 11 No  82 - 71 Local 414,236 23 58 -,Chapinero,Sí,236 23 58,paneroli.com
27,14441,Crepes & Waffles,Avenida Calle 13 No 4 - 55,676 76 00 Extensión 729 -,Candelaria,No,NA,www.Crepesywaffles.com
300,30216,Don Jediondo Sopitas y Parrilla,Centro Comercial Calima Calle 19 No 28 - 80 Local R-7,487 51 36 -,Los Mártires,Sí,487 51 36,www.donjediondo.com
48,14631,Restaurante Wok,Carrera 13  No 82 - 74,622 59 80 -,Chapinero,NR,NA,www.wok.com.co
93,15882,Hamburguesas el Corral San Martin,Centro Comercial San Martín Carrera 7 No 32 - 16 Local 409,NR,Santafé,No,NA,www.elcorral.com
318,30770,PPC Pollo; Pizza; Carne,Calle 26 No 51 A - 15 Local 322,335 06 00 - 321 364 39 46,Teusaquillo,No,NA,www.ppc.com.co
138,22075,El CoQ,Calle 84 No 14 - 02,610 80 36 -,Chapinero,NR,NA,NR
256,27308,Presto Colsubsidio Calle 26,Calle 26 No 25 - 50 Piso 2,338 43 44 -,Teusaquillo,Sí,6550 550,www.presto.com.co
153,22606,Koi By Wathacushi,Calle 119 No 6 A - 17,213 39 19 -,Usaquén,NR,NA,NR
107,17697,Hamburguesas el Corral Plaza 39,Avenida Calle 39 No 7 - 40 Local 233,NR,Chapinero,No,NA,www.elcorral.com
144,22306,Brasa Roja Centro Comercial Avenida Chile,Centro Comercial Avenida Chile Calle 72 No 10 -  34 Local 403 B,NR,Chapinero,Sí,600 45 65,labrasaroja.com
321,30772,Sopas de Mamá y Postres de la Abuela Sucursal Unicentro,Centro Comercial Unicentro Avenida 15 No 124 - 30 Local 1-060,658 48 98 -,Usaquén,NR,NA,www.sopasypostres.com.co
149,22457,Harrys Restaurante,Calle 70 No 5 - 57,321 39 40 - 345 03 04,Chapinero,No,NA,www.harrysasson.com
296,30010,El Carnal,Calle 82 No 13 - 15,NR,Chapinero,No,NA,elcarnal.com.co
176,25359,MC Donalds Gran Estación,Centro Comercial Gran Estación Avenida Calle 26 No 62 - 47 Local 3-36,572 65 89 - 311 561 08 67,Teusaquillo,No,NA,www.mcdonalds.com.co
389,34539,Presto Nuevo Dorado,Aeropuerto Eldorado; T2 Zona Internacional,NR,Fontibón,Sí,6550 550,www.presto.com.co
339,32254,Andrés Exprés Caseta de Luxe,Centro Comercial Platino Carrera 7 No 138 - 33 Local 309,863 78 80 -,Usaquén,NR,NA,www.andrescarnederes.com
342,32414,Cien Montaditos Pepe Sierra,Calle 116 No 17 A - 60,621 90 51 -,Usaquén,NR,NA,colombia.100montaditos.com
381,34269,Harrys Bakery,Carrera 6 No 69 A - 34,349 11 64 -,Chapinero,Sí,349 11 64,www.harrysasson.com
241,27200,Carbón 100 Avenida Chile,Calle 73 No 10 - 83 Local 409,248 92 81 - 674 05 28,Chapinero,No,NA,carbon100xilvestre.com.co
152,22605,7 16 Steak House,Calle 119 B No 6 - 28,213 42 71 -,Usaquén,No,NA,NR
315,30768,PPC Pollo; Pizza; Carne,Transversal 35 No 38 A - 20 Sur  Local 2-122,335 06 00 - 733 34 87,Antonio Nariño,No,NA,www.ppc.com.co
358,33494,Hamburguesas del rodeo Calle 70,Carrera 11 No 70 - 66,519 08 88 -,Chapinero,Sí,519 09 99,www.hamburguesasdelrodeo.com
319,30770,PPC Pollo; Pizza; Carne,Centro Comercial Gran Estación Calle 26 No 51  A - 15 Local 322,222 85 36 -,Teusaquillo,NR,NA,www.ppc.com.co
188,25691,Restaurante Lomos,Carrera 21 No 100 - 23,256 33 15 - 218 24 50,Usaquén,No,NA,NR
363,33773,Carbón 100 Gran Estación,Centro Comercial Gran Estación Avenida El Dorado No 62 - 49 Local 361,670 59 83 -,Teusaquillo,NR,NA,carbon100xilvestre.com.co
285,29905,La Bonga del Sinú,Calle 116 No 16 -  89,521 94 18 - 521 94 94,Usaquén,NR,NA,labongadelsinu.co
147,22434,Bogota Beer Company S A,Calle 116 No 16 - 78,742 92 92 Extensión 3 Opción 10 -,Usaquén,NR,NA,www.bogotabeercompany.com
174,24420,Papa Jhons Avenida Chile,Carrera 9 No 71 - 60/64,NR,Chapinero,NR,NA,www.papajohns.com.co
35,14485,Archies Zona Rosa,Calle 82 No 13 - 07,610 91 62 -,Chapinero,Sí,605 05 05,www.archies.co
11,14336,Corral Gourmet Atlantis,Calle 81 A No 13 A - 05 Local 01-02,623 29 93 -,Chapinero,NR,NA,www.elcorralgourmet.com
297,30011,Corral Gourmet Usaquén,Calle 119 B No 5 - 86,215 95 51 -,Usaquén,NR,NA,www.elcorralgourmet.com
254,27252,KFC,Centro Comercial Atlantis Plaza Calle 81 No 13 - 05 Local 407,NR,Chapinero,Sí,600 09 09,www.kfcbuenisimo.com/colombia
135,21680,teriyki 69,Calle 69 A No 5 - 79,321 02 15 -,Chapinero,Sí,321 02 15,www.teriyaki.com.co
166,23878,La Biferia,Calle 29 Bis No 6 - 12,245 83 88 - 314 414 24 03,Santafé,NR,NA,labiferia.squarespace.com
29,14445,Crepes & Waffles,Calle 93B No 12  -  28 Local 101,676 76 00 Extensión 708 -,Chapinero,No,NA,www.Crepesywaffles.com
70,14806,MC Donalds Parque 93,Carrera 12 No 93  - 86,618 24 28 - 311 561 08 60,Chapinero,Sí,400 33 33,www.mcdonalds.com.co
73,14810,MC Donalds Pepe Sierra,Calle 116 No 18B  - 43,213 78 72 - 311 561 08 61,Usaquén,Sí,400 33 33,www.mcdonalds.com.co
34,14483,Archies Andino,Centro Comercial Andino Plaza Carrera 11 No 82 - 71 Piso 4 Local 406,236 27 35 -,Chapinero,Sí,605 05 05,www.archies.co
69,14777,Hard Rock Café,Centro Comercial Atlantis Calle 81 No 13 - 05  Local 011,530 73 28 - 530 73 29,Chapinero,Sí,530 22 00,www.hardrock.com
195,25786,Restaurante Mediterránea De Andrei,Carrera 6 A No 119 B - 05,612 90 59 - 629 82 79,Usaquén,NR,NA,www.mediterraneadeandreiusaquen.com
134,21679,teriyki Thai,Carrera 13 No 83 - 66,618 15 19 -,Chapinero,Sí,618 15 19,www.teriyaki.com.co
328,31411,Andrés Exprés Caseta de Luxe,Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 50 Local 2107,863 78 80 -,Antonio Nariño,NR,NA,www.andrescarnederes.com
64,14668,Oliveto Pizza Gourmet,Carrera 6A No 118  -  57,213 41 24 - 213 03 02,Usaquén,Sí,212 65 70,www.olivetopizza.com / www.olivetopizzagourmet.com
282,29839,Don Jediondo Sopitas y Parrilla,Centro Comercial Plaza de Las Américas Carrera 71 D No 6 - 94 Sur Local 2913,413 76 20 -,Kennedy,No,NA,www.donjediondo.com
372,34164,Apache Burger Bar,Avenida Carrera 11 No 93 - 77,635 19 16 -,Chapinero,NR,NA,NR
229,26442,Crepes & Waffles,Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Plaza del Equilibrista Piso 2,676 76 00 Extensión 751 -,Antonio Nariño,No,NA,www.Crepesywaffles.com
337,32193,Oma Barra de Café Bogotá Aeropuerto El Nuevo Dorado,Avenida Calle 26 Carrera 120 Primer Piso Diagonal Porteria 6,NR,Fontibón,NR,NA,http://173.254.122.220/
59,14651,Fish Market La Fragata Zona T,Carrera 13 No 83 - 18,691 24 19 - 257 97 43,Chapinero,NR,NA,www.lafragata.com
380,34253,Bogota Beer Company S A,Carrera 4 A No 27 - 04,742 92 92 Extensión 3 Opción 11 -,Santafé,NR,NA,www.bogotabeercompany.com
177,25360,MC Donalds Centro Internacional,Carrera 10 No 26 - 55/57 Edificio Bachue,341 28 27 - 321 427 08 08,Santafé,Sí,400 33 33,www.mcdonalds.com.co
225,26438,Crepes & Waffles,Avenida Carrera 58 No 127 - 59 Local 25 - 335,676 76 00 Extensión 704 -,Suba,No,NA,www.Crepesywaffles.com
249,27244,Presto Calle. 85,Calle 85 No 12 - 61,616 98 45 -,Chapinero,Sí,6550 550,www.presto.com.co
289,30002,El Carnal,Centro Comercial Hacienda Santa Barbará Carrera 7 No 115 - 72 Local E-205,NR,Usaquén,No,NA,elcarnal.com.co
357,33390,Il Magazzino Italiano,Calle 93 A No 13 A - 31 Local 01,610 29 00 -,Chapinero,NR,NA,NR
164,23409,Pesquera Jaramillo SUC. CHICO,Calle 93 A No 11 A - 31,257 25 28 - 256 54 94,Chapinero,NR,NA,www.pesquerajaramillo.com
306,30222,La Popular de Andrés Contenedores,Centro Comercial Hacienda Santa Bárbara Carrera 7 No 115 - 60,863 78 80 - 861 22 33,Usaquén,NR,NA,www.andrescarnederes.com
221,26368,MC Donalds Calima,Centro Comercial Calima Avenida Calle 19 No 28 - 10 Local C27,378 61 26 - 311 554 90 00,Los Mártires,Sí,400 33 33,www.mcdonalds.com.co
207,26326,Hamburguesas el Corral Calima,Centro Comercila Calima Avenida Calle 19 No 28 - 80 Local C-30,NR,Los Mártires,No,NA,www.elcorral.com
22,14419,Restaurante Casa Vieja San Diego,Carrera 10 No 26 - 60,284 73 59 - 281 01 90,Santafé,No,NA,www.casavieja.com.co
257,27317,Frisby G48,Centro Comercial Avenida Chile Calle 72 No 10 - 34 Local 405,249 27 19 -,Chapinero,Sí,01 800 939 000,www.frisby.com.co
143,22207,Restaurante Casa,Carrera 13 No 85 - 24,236 37 55 - 704 46 06,Chapinero,No,NA,NR
206,26325,Hamburguesas el Corral Unicentro I,Centro Comercial Unicentro Avenida 15 No 124 - 30  Local 2078,NR,Usaquén,No,NA,www.elcorral.com
53,14644,Restaurante Patria,Calle 83 No 12A - 11,236 98 54 - 621 06 82,Chapinero,No,NA,NR
290,30003,El Carnal,Centro Comercial Santafé Calle 185 No 45 - 03 Local 3N-125,NR,Usaquén,No,NA,elcarnal.com.co
24,14421,Crepes & Waffles,Carrera 13 No  28  -  08 Local 36,676 76 00 Extensión 702 -,Santafé,No,NA,www.Crepesywaffles.com
222,26369,MC Donalds Centro Mayor,Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Local 2115 B-C,734 03 46 - 321 241 40 16,Antonio Nariño,No,NA,www.mcdonalds.com.co
208,26327,Hamburguesas el Corral Carulla Galerías,Calle 53 No 26 - 60,NR,Chapinero,No,NA,www.elcorral.com
146,22432,Bogota Beer Company,Carrera 5 No 71 - 75,742 92 92 Extensión 3 Opción 7 -,Chapinero,NR,NA,www.bogotabeercompany.com
60,14660,Apolos Men,Calle 85 No 11 - 18,257 54 43 - 311 261 55 07,Chapinero,NR,NA,www.apolosmen.com.co
161,22668,La Hamburguesería De La Macarena,Carrera 4 A No 27 - 27,281 12 86 - 284 88 86,Santafé,Sí,600 09 69,www.lahamburgueseria.com
15,14346,Corral Gourmet 93,Calle 93 A No 12 - 57 Local 3 y 4,640 62 59 -,Chapinero,NR,NA,www.elcorralgourmet.com
278,29795,Cali Mío Centro Comercial Santafé,Centro Comercial Santafé Calle 185 No 45 03 Local 3 - 11,NR,Usaquén,Sí,600 43 00,www.calimio.com.co
215,26356,La Brasa Roja Gran Estación,Centro Comercial Gran Estación Avenida Calle 26 No 62 - 47 Local 302,NR,Teusaquillo,Sí,600 45 65,labrasaroja.com
233,26478,Tabula,Calle 29 BIS No 5 - 90,287 72 28 - 285 88 75,Santafé,NR,NA,NR
102,16931,Sopas de Mamá y Postres de la Abuela Sucursal Quinta Camacho,Calle 71 No 10 - 73,658 48 95 -,Chapinero,NR,NA,www.sopasypostres.com.co
1,8127,Hamburguesas el Corral Aeropuerto,Aeropuerto Eldorado; Tercel Nivel  Local 101,NR,Fontibón,No,NA,www.elcorral.com
373,34166,Chibchombia,Carrera 4 A No 26D - 90,284 87 39 -,Santafé,NR,NA,NR
65,14669,El Olivar Restaurante,Carrera 6 No 10 - 40,283 29 64 -,Candelaria,NR,NA,NR
181,25652,Restaurante BAR Museo del Tequila,Carrera 13 A No 86 A - 18,256 66 14 -,Chapinero,NR,NA,www.museodeltequila.com.co
67,14687,Restaurante Casa Santa Clara,Paseo Bolívar No 21 - 48 Este Estación Funicular,243 89 52 - 286 43 39,,NR,NA,www.restaurantecasasantaclara.com
336,31729,Crepes & Waffles,Calle 70 No 4 - 96,676 76 00 Extensión 735  -,Chapinero,NR,NA,www.Crepesywaffles.com
203,26322,Hamburguesas el Corral Centro Mayor II,Centro Comercial Centro Mayor  Calle 38 A Sur No 34 D - 51 Local 3024 A,NR,Antonio Nariño,No,NA,www.elcorral.com
354,32853,Kokoriko Andino,Centro Comercial Andino Carrera 11 No 82 - 71  Local 415 Piso 4,NR,Chapinero,Sí,410 01 11,www.kokoriko.com.co
45,14604,Bogota Beer Company,Calle 85 No 13  - 06,742 92 92 Extensión 3 Opción 6 -,Chapinero,NR,NA,www.bogotabeercompany.com
46,14618,El Ovejo Café,Carrera 14 No 83 - 70 Piso 2,611 24 96 -,Chapinero,NR,NA,NR
228,26441,Crepes & Waffles,Centro comercial Gran Estación Avenida Calle 26 No  62 - 47 Local 321,676 76 00 Extensión 726 -,Teusaquillo,No,NA,www.Crepesywaffles.com
386,34467,Andrés Expres Caseta De Luxe,Centro Comercial Cafam Floresta Avenida Carrera 68 No 90 - 88 Local 2 011,863 78 80 -,Barrios Unidos,NR,NA,www.andrescarnederes.com
219,26366,MC Donalds Unicentro,Centro Comercial Unicentro Avenida 15 No 123 - 30 Local 1-65,629 15 55 - 311 561 08 64,Usaquén,No,NA,www.mcdonalds.com.co
330,31414,Andrés Exprés Caseta de Luxe,Centro Comercial Unicentro Avenida 15 No 124 - 30 Local 401,863 78 80 -,Usaquén,NR,NA,www.andrescarnederes.com
192,25768,Hamburguesas el Corral Salitre,Centro Comercial Salitre Plaza Carrera 68 B No 24 - 39 Local 371,NR,Fontibón,No,NA,www.elcorral.com
243,27237,Presto Word Trade Center,Carrera 11 No 98 - 46,610 29 04 -,Chapinero,Sí,6550 550,www.presto.com.co
125,21289,El Carnal,Carrera 12 No 83  -  47,NR,Chapinero,No,NA,elcarnal.com.co
267,27985,La Bonga del Sinú,Carrera 14 No 93  -  88,691 95 07 - 257 32 53,Chapinero,No,NA,NR
6,14321,Hamburguesas el Corral Centro Internacional,Carrera 7 No 32 - 83 Local 102,NR,Santafé,No,NA,www.elcorral.com
142,22158,Restaurante Agadón,Carrera 13 No 85 - 75,742 53 99 - 742 53 97,Chapinero,No,NA,NR
129,21571,Rafael Restaurant,Calle 70 No 4 - 63,255 41 38 -,Chapinero,NR,NA,www.rafaelosterling.pe/es/bogota.html
186,25668,Crepes & Waffles,Centro comercial Salitre Plaza Carrera 68 B No 24 - 39  Local 324,676 76 00 Extensión 709 -,Fontibón,No,NA,www.Crepesywaffles.com
224,26437,Crepes & Waffles,Carrera 24 No 53  - 73 Local 103,676 76 00 Extensión 739 -,Teusaquillo,No,NA,www.Crepesywaffles.com
44,14603,Bogota Beer Company,Avenida 19 No 120 - 76,742 92 92 Extensión 3 Opción 2 -,Usaquén,NR,NA,www.bogotabeercompany.com
276,28423,Papa Jhons Galerias,Calle 52 No 23 - 06/10,NR,Teusaquillo,NR,NA,www.papajohns.com.co
89,15433,Tienda de Café,Calle 119 No 6 - 16,213 39 16 - 213 31 18,Usaquén,Sí,213 31 18,www.tiendadeCafé.net
41,14599,Bogota Beer Company S A,Carrera 12 No 83 - 33,742 92 92 Extensión 3 Opción 1 -,Chapinero,NR,NA,www.bogotabeercompany.com
295,30009,El Carnal,Centro Comercial Unicentro Avenida 15 No 124 - 30 Local 4-10,NR,Usaquén,No,NA,elcarnal.com.co
92,15881,Hamburguesas el Corral Parque Central Bavaria,Carrera 13 No 28 - 01 Local 173,NR,Santafé,No,NA,www.elcorral.com
213,26332,Hamburguesas el Corral Santafé II,Centro Comercial Santafé Calle 183 No 45 - 03 Local 3-102,NR,Usaquén,No,NA,www.elcorral.com
119,19118,Boca Cocina Latina,Carrera 10 No 27 - 51 Local 174 Edificio Residencias Tequendama Norte,596 79 99 -,Santafé,NR,NA,www.bocacocinalatina.com
52,14643,Restaurante La Brasserie,Carrera 13 No 85 - 35,257 64 02 - 618 45 77,Chapinero,No,NA,NR
12,14337,Hamburguesas el Corral Atlantis,Calle 80 No 13 A - 20 Local 403,NR,Chapinero,No,NA,www.elcorral.com
103,16933,Sopas de Mamá y Postres de la Abuela Sucursal Plaza de Bolívar,Carrera 9 No 10 - 59,658 48 94 -,Candelaria,NR,NA,www.sopasypostres.com.co
349,32847,Kokoriko Calle 71,Calle 71 No 9 - 06,NR,Chapinero,Sí,410 01 11,www.kokoriko.com.co
128,21570,La Despensa de Rafael,Calle 70 A No 9 - 95,235 88 91 - 248 19 97,Chapinero,NR,NA,www.rafaelosterling.pe/es/la-despensa.html
269,28323,Hamburguesas el Corral ESSO 100,Calle 100 No 11 - 79 Local 8 y 9,NR,Chapinero,No,NA,www.elcorral.com
